ts,red_raw,ir_raw,led_current
36186,1993791,2272918,45
36200,1993767,2272936,45
36214,1993786,2272935,45
36228,1993787,2272972,45
36243,1993789,2272949,45
36259,1993796,2272986,45
36274,1993873,2273244,45
36297,1993838,2273219,45
36312,1993872,2273214,45
36326,1993862,2273223,45
36343,1993876,2273179,45
36358,1993848,2273224,45
36373,1993788,2273026,45
36387,1993784,2273009,45
36402,1993780,2273090,45
36417,1993794,2273054,45
36431,1993791,2273041,45
36453,1993786,2273061,45
36469,1993918,2273409,45
36483,1993928,2273439,45
36501,1993929,2273464,45
36516,1993948,2273465,45
36530,1993893,2273492,45
36544,1993957,2273474,45
36568,1994037,2273827,45
36582,1994057,2273847,45
36596,1994025,2273846,45
36612,1994047,2273843,45
36627,1994027,2273857,45
36641,1994062,2273836,45
36657,1994042,2273873,45
36672,1994112,2274048,45
36686,1994122,2274044,45
36704,1994113,2274054,45
36720,1994130,2274065,45
36734,1994150,2274089,45
36751,1994129,2274101,45
36772,1994122,2274106,45
36787,1994159,2274123,45
36801,1994136,2274062,45
36815,1994138,2274039,45
36831,1994065,2273961,45
36846,1994104,2273904,45
36861,1993488,2272337,45
36878,1993484,2272347,45
36893,1993472,2272323,45
36907,1993463,2272342,45
36921,1993481,2272336,45
36941,1993469,2272344,45
36957,1993474,2272390,45
36973,1993684,2272909,45
36988,1993661,2272928,45
37004,1993671,2272940,45
37018,1993686,2272933,45
37034,1993675,2272931,45
37049,1993661,2272934,45
37064,1993753,2273031,45
37084,1993741,2273104,45
37099,1993720,2273105,45
37113,1993732,2273092,45
37127,1993721,2273065,45
37142,1993725,2273101,45
37158,1993674,2272971,45
37173,1993723,2272933,45
37195,1993670,2272988,45
37210,1993704,2273009,45
37224,1993709,2272970,45
37238,1993669,2273005,45
37252,1993678,2273018,45
37268,1993790,2273367,45
37283,1993820,2273386,45
37297,1993826,2273376,45
37321,1993840,2273423,45
37336,1993836,2273420,45
37350,1993848,2273420,45
37371,1993941,2273765,45
37386,1993950,2273759,45
37400,1993945,2273763,45
37416,1993984,2273778,45
37432,1993987,2273783,45
37446,1993981,2273794,45
37466,1994015,2273898,45
37486,1993988,2273920,45
37501,1994000,2273920,45
37515,1994015,2273944,45
37529,1994006,2273936,45
37544,1994029,2273972,45
37559,1994000,2273958,45
37575,1993989,2273856,45
37593,1993970,2273760,45
37610,1993938,2273778,45
37625,1993942,2273708,45
37639,1993906,2273581,45
37655,1993864,2273535,45
37671,1993311,2272019,45
37688,1993340,2272015,45
37706,1993331,2272015,45
37722,1993330,2272079,45
37736,1993333,2272049,45
37754,1993325,2272089,45
37770,1993463,2272466,45
37785,1993464,2272533,45
37800,1993488,2272524,45
37823,1993486,2272523,45
37838,1993489,2272520,45
37856,1993460,2272526,45
37872,1993491,2272654,45
37887,1993526,2272633,45
37908,1993483,2272678,45
37924,1993498,2272632,45
37939,1993466,2272611,45
37953,1993509,2272615,45
37967,1993396,2272490,45
37989,1993483,2272536,45
38005,1993468,2272551,45
38019,1993455,2272550,45
38038,1993441,2272576,45
38054,1993461,2272588,45
38068,1993584,2272921,45
38082,1993571,2272931,45
38105,1993630,2272972,45
38120,1993615,2272982,45
38139,1993645,2272976,45
38154,1993640,2272962,45
38168,1993703,2273296,45
38182,1993704,2273286,45
38200,1993716,2273299,45
38215,1993695,2273318,45
38229,1993795,2273323,45
38243,1993738,2273316,45
38264,1993799,2273432,45
38279,1993792,2273437,45
38293,1993803,2273480,45
38310,1993779,2273474,45
38325,1993810,2273475,45
38340,1993804,2273517,45
38355,1993849,2273677,45
38371,1993860,2273670,45
38386,1993847,2273645,45
38400,1993870,2273618,45
38416,1993796,2273610,45
38431,1993852,2273573,45
38445,1993196,2271861,45
38459,1993208,2271790,45
38474,1993195,2271830,45
38489,1993162,2271811,45
38504,1993143,2271810,45
38524,1993140,2271806,45
38540,1993190,2271827,45
38554,1993391,2272379,45
38568,1993376,2272379,45
38583,1993371,2272371,45
38599,1993371,2272393,45
38614,1993396,2272386,45
38628,1993384,2272389,45
38644,1993431,2272546,45
38660,1993395,2272577,45
38674,1993467,2272558,45
38688,1993439,2272571,45
38703,1993469,2272528,45
38719,1993450,2272558,45
38733,1993430,2272546,45
38748,1993368,2272346,45
38763,1993392,2272350,45
38777,1993385,2272355,45
38791,1993380,2272375,45
38815,1993372,2272370,45
38830,1993364,2272393,45
38850,1993505,2272750,45
38866,1993496,2272743,45
38880,1993523,2272747,45
38900,1993546,2272769,45
38920,1993546,2272766,45
38935,1993535,2272785,50
38949,1993533,2272827,50
38965,2275112,2818903,50
38980,2275161,2818902,50
38994,2275149,2818898,50
39014,2275128,2818904,50
39030,2275155,2818905,50
39044,2275190,2818979,50
39058,2275180,2819004,50
39072,2275170,2818925,50
39087,2275191,2818992,50
39102,2275176,2819015,50
39118,2275188,2819005,50
39134,2275221,2819016,50
39148,2275185,2818947,50
39162,2275164,2818876,50
39177,2275143,2818830,50
39194,2275129,2818787,50
39211,2275083,2818726,50
39226,2275064,2818593,50
39242,2274507,2817173,50
39257,2274497,2817172,50
39271,2274504,2817157,50
39285,2274522,2817199,50
39299,2274539,2817209,50
39316,2274571,2817191,50
39331,2274537,2817282,50
39345,2274719,2817769,50
39369,2274713,2817764,50
39384,2274713,2817753,50
39398,2274729,2817772,50
39415,2274750,2817773,50
39430,2274738,2817769,50
39445,2274766,2817873,50
39460,2274722,2817843,50
39476,2274740,2817871,50
39491,2274729,2817833,50
39505,2274756,2817822,50
39520,2274740,2817776,50
39536,2274705,2817834,50
39551,2274697,2817740,50
39567,2274703,2817738,50
39583,2274698,2817702,50
39597,2274728,2817751,50
39619,2274683,2817803,50
39635,2274905,2818195,50
39650,2274869,2818201,50
39664,2274871,2818209,50
39679,2274874,2818227,50
39694,2274882,2818250,50
39708,2274880,2818252,50
39731,2274888,2818245,50
39747,2275009,2818545,50
39761,2274992,2818501,50
39775,2275002,2818574,50
39795,2274984,2818583,50
39810,2274991,2818578,50
39825,2275015,2818577,50
39841,2275078,2818776,50
39856,2275088,2818791,50
39870,2275087,2818805,50
39884,2275078,2818743,50
39899,2275111,2818805,50
39914,2275108,2818840,50
39929,2275116,2818843,50
39944,2274898,2818257,50
39965,2274830,2818075,50
39980,2274795,2817986,50
39994,2274769,2817913,50
40009,2274761,2817786,50
40024,2274732,2817756,50
40039,2274407,2816996,50
40057,2274417,2817005,50
40072,2274418,2817057,50
40086,2274444,2817096,50
40100,2274451,2817113,50
40114,2274463,2817159,50
40133,2274455,2817104,50
40155,2274587,2817521,50
40170,2274587,2817537,50
40184,2274585,2817521,50
40199,2274600,2817505,50
40214,2274650,2817533,50
40228,2274638,2817627,50
40244,2274640,2817638,50
40261,2274685,2817601,50
40276,2274629,2817610,50
40290,2274659,2817635,50
40305,2274634,2817590,50
40321,2274635,2817626,50
40339,2274664,2817665,50
40354,2274662,2817672,50
40378,2274703,2817689,50
40393,2274669,2817723,50
40408,2274658,2817725,50
40423,2274838,2818147,50
40439,2274808,2818172,50
40454,2274856,2818193,50
40469,2274846,2818185,50
40484,2274857,2818191,50
40498,2274853,2818213,50
40512,2274882,2818220,50
40526,2274994,2818549,50
40542,2275001,2818537,50
40557,2274981,2818550,50
40571,2275005,2818560,50
40595,2275000,2818569,50
40610,2274989,2818572,50
40624,2275006,2818594,50
40638,2275108,2818756,50
40654,2275092,2818759,50
40669,2275060,2818762,50
40683,2275094,2818780,50
40697,2275092,2818777,50
40718,2275094,2818792,50
40734,2275123,2818811,50
40748,2275142,2818773,50
40763,2275101,2818749,50
40777,2275064,2818677,50
40792,2275014,2818587,50
40806,2275047,2818539,50
40820,2274987,2818494,50
40841,2274374,2816767,50
40870,2274342,2816800,50
40885,2274368,2816839,50
40901,2274387,2816842,50
40915,2274389,2816864,50
40931,2274595,2817473,50
40947,2274596,2817470,50
40964,2274585,2817477,50
40979,2274594,2817440,50
40993,2274623,2817486,50
41008,2274585,2817477,50
41022,2274664,2817646,50
41036,2274645,2817665,50
41056,2274655,2817656,50
41072,2274657,2817660,50
41087,2274669,2817595,50
41103,2274672,2817670,50
41119,2274666,2817632,50
41134,2274647,2817566,50
41149,2274649,2817589,50
41165,2274647,2817595,50
41180,2274668,2817605,50
41194,2274666,2817609,50
41208,2274647,2817610,50
41232,2274806,2818036,50
41247,2274843,2818044,50
41261,2274828,2818110,50
41279,2274829,2818072,50
41294,2274843,2818085,50
41308,2274860,2818104,50
41322,2274975,2818454,50
41337,2274937,2818409,50
41352,2274975,2818425,50
41369,2274986,2818453,50
41385,2274956,2818475,50
41409,2274992,2818475,50
41424,2275053,2818649,50
41438,2275055,2818702,50
41464,2275074,2818686,50
41480,2275083,2818690,50
41495,2275070,2818684,50
41509,2275071,2818647,50
41524,2275043,2818715,50
41540,2275196,2819002,50
