pc_time_ms,red_raw,ir_raw,red_filtered,ir_filtered,esp_ts
21568,603150,599794,260.98,353.18,38213
21568,603157,599802,280.17,390.68,38253
21568,603257,599992,328.61,495.01,38293
21569,603269,599995,321.12,481.39,38333
21569,603288,600062,304.89,482.44,38373
21772,603297,600067,281.13,445.3,38413
21772,603298,600063,252.05,395.74,38453
21773,603314,600128,234.26,393.61,38493
21773,603330,600132,220.76,362.51,38533
21773,603167,599809,89.04,106.64,38573
21977,603159,599797,43.04,25.31,38613
21977,603059,599561,-39.49,-156.11,38653
21977,603043,599558,-67.64,-190.41,38693
21978,602988,599466,-106.0,-244.89,38733
21978,602989,599466,-105.98,-237.82,38773
22182,602880,599307,-170.39,-322.98,38813
22182,602883,599310,-170.13,-315.06,38853
22182,602940,599438,-117.33,-200.31,38893
22182,602947,599453,-89.4,-144.51,38933
22183,602990,599529,-45.89,-67.09,38973
22386,603004,599534,-21.64,-38.66,39013
22387,603002,599537,-15.07,-26.26,39053
22387,603057,599603,24.9,23.55,39093
22388,603034,599609,17.31,38.15,39133
22388,603086,599676,48.94,83.63,39173
22591,603088,599686,54.09,94.74,39213
22592,603132,599786,80.39,156.81,39253
22592,603137,599778,83.6,153.77,39293
22593,602980,599463,-28.36,-72.07,39333
22593,602979,599452,-54.72,-130.07,39373
22796,602974,599422,-60.11,-153.82,39413
22796,602972,599419,-57.69,-148.82,39453
22797,602980,599401,-46.87,-147.04,39493
22797,602970,599402,-46.91,-133.48,39533
22797,602969,599395,-43.62,-123.54,39573
23002,602939,599339,-59.29,-148.29,39613
23002,602941,599348,-56.89,-135.87,39653
23002,602931,599333,-58.19,-131.44,39693
23002,602929,599327,-55.0,-123.25,39733
23003,602908,599320,-63.66,-115.49,39773
23003,602908,599324,-60.41,-101.06,39813
23206,602906,599308,-55.87,-99.74,39853
23207,602899,599314,-54.72,-86.88,39893
23207,602905,599327,-45.74,-67.61,39933
23207,602897,599325,-45.02,-58.38,39973
23208,602916,599368,-28.23,-22.21,40013
23410,602914,599362,-22.99,-15.32,40053
23411,602798,599096,-97.87,-191.34,40093
23411,602795,599080,-110.34,-230.1,40133
23411,602808,599086,-95.45,-216.37,40173
23411,602814,599116,-79.61,-174.42,40213
23615,602815,599124,-68.26,-143.75,40253
23615,603021,599454,79.08,98.25,40293
23616,603009,599465,101.28,158.13,40333
23616,603249,599896,259.85,449.89,40373
23616,603256,599915,282.42,497.91,40413
23821,603530,600410,448.67,801.11,40453
23821,603546,600416,463.24,813.54,40493
23822,603841,600937,626.36,1098.65,40533
23822,603828,600964,605.62,1095.57,40573
23822,604133,601514,754.56,1372.43,40613
24025,604138,601528,731.58,1335.43,40653
24025,604284,601798,762.27,1395.04,40693
24025,604281,601801,703.63,1294.17,40733
24026,604278,601810,627.41,1165.56,40773
24026,604278,601806,555.27,1032.13,40813
24230,604277,601804,489.58,910.15,40853
24230,604216,601657,390.67,703.66,40893
24230,604201,601641,322.81,581.62,40933
24230,603919,601077,88.69,122.2,40973
24230,603918,601066,21.77,-10.84,41013
24435,603798,600852,-77.68,-187.38,41053
24435,603787,600835,-103.49,-227.31,41093
24435,603702,600673,-158.42,-327.13,41133
24435,603706,600674,-156.15,-323.89,41173
24436,603612,600532,-205.69,-391.33,41213
24639,603616,600526,-198.02,-379.23,41253
24640,603592,600498,-195.51,-362.96,41293
24640,603596,600499,-175.66,-327.57,41333
24640,603553,600394,-184.78,-361.68,41373
24640,603530,600399,-186.94,-336.29,41413
24640,603533,600403,-169.67,-298.82,41453
24844,603480,600304,-186.67,-330.8,41493
24845,603476,600299,-177.84,-314.29,41533
24845,603429,600254,-192.26,-313.85,41573
24845,603439,600257,-172.9,-285.19,41613
24845,603432,600243,-158.15,-263.36,41653
25049,603421,600236,-148.46,-240.35,41693
25049,603430,600234,-127.45,-215.64,41733
25049,603411,600236,-124.23,-189.87,41773
25050,603319,600045,-174.86,-295.89,41813
25050,603312,600034,-177.49,-304.95,41853
25254,603147,599725,-274.24,-489.47,41893
25254,603150,599720,-273.33,-497.74,41933
25254,603132,599677,-262.15,-486.73,41973
25255,603132,599692,-237.16,-432.8,42013
25255,603130,599684,-212.24,-388.02,42053
25459,603111,599628,-200.85,-381.74,42093
25459,603097,599632,-190.4,-345.16,42133
25460,603071,599590,-189.23,-335.11,42173
25460,603083,599582,-164.89,-309.72,42213
25460,603069,599571,-154.24,-284.56,42253
25663,603060,599566,-144.62,-257.57,42293
25664,603063,599556,-127.92,-235.74,42333
25664,603061,599562,-114.29,-206.33,42373
25664,603048,599555,-109.95,-186.25,42413
25664,603037,599555,-106.99,-165.4,42453
25868,603039,599559,-95.91,-143.54,42493
25868,603044,599566,-81.63,-121.22,42533
25869,603039,599573,-74.51,-100.68,42573
25869,603054,599609,-56.38,-62.76,42613
25869,603054,599607,-46.99,-49.26,42653
26074,602941,599365,-116.8,-204.62,42693
26074,602923,599345,-136.51,-239.78,42733
26074,602835,599165,-189.21,-349.56,42773
26074,602828,599160,-191.15,-350.89,42813
26075,602837,599194,-169.38,-298.68,42853
26278,602834,599195,-151.66,-259.67,42893
26278,602828,599192,-138.48,-229.97,42933
26278,602838,599185,-116.7,-207.83,42973
26278,602831,599178,-106.11,-189.42,43013
26278,602831,599193,-94.46,-158.71,43053
26279,602849,599233,-71.49,-110.65,43093
26482,602852,599247,-57.64,-79.82,43133
26483,602906,599345,-12.99,0.66,43173
26483,602892,599358,-10.13,29.57,43213
26483,602913,599343,5.61,24.18,43253
26483,602949,599435,33.27,82.7,43293
26688,602947,599433,36.11,89.05,43333
